index,날짜,번호,앨범번호,앨범이름,가수,노래제목,장르,좋아요,태그
604566,20210706,604566,41378,ARK,L'Arc-en-Ciel,Driver's High (GTO OP),J-POP,"3,688",#애니메이션 #OST #애니
610471,20210706,610471,42031,Hey!,Julio Iglesias,Hey!,월드뮤직,991,#팝 #가을_공통 #기분전환
612881,20210706,612881,43157,Time Out,Dave Brubeck,Take Five,재즈,"3,975",#일할때 #분위기 #공부 #재즈
621287,20210706,621287,40052,15집 국악 (國樂),서울 새울 가야금 삼중주단,가야금 삼중주를 위한 '파헬벨의 캐논',국악,586,#크로스오버 #국악 #국악탑백
622082,20210706,622082,42298,Love,Nakashima Mika,雪の華 / Yukino Hana (박효신 '눈의 꽃' 원곡),J-POP,"13,276",#팝 #밤 #겨울
623902,20210706,623902,43841,미안하다 사랑한다 OST,박효신,눈의 꽃,OST,"154,192",#2000년 #싸이월드 #추억 #2000년대
665226,20210706,665226,47037,Back To The Soul Flight,나얼,귀로,R&B/Soul,"81,061",#추억 #이별 #2000년대 #그리움
685096,20210706,685096,48613,The Best Of Bill Withers : Lean On Me,Bill Withers,Just The Two Of Us,R&B/Soul,"16,936",#사랑 #zoodasa #설렘 #주다사
686001,20210706,686001,48676,Stand By Your Man,Tammy Wynette,Stand By Your Man (JTBC 드라마 '밥 잘 사주는 예쁜 누나' 삽입곡),포크/블루스/컨트리,"4,511",#팝 #추억 #드라이브 #커플
686635,20210706,686635,48734,La Musique de Paris Derniere 2,Max Raabe,Sex Bomb (팬택앤큐리텔 CF '회전목마' 보아편),월드뮤직,"1,288",#추억 #결정판 #Jazz #회상
686651,20210706,686651,48736,쾌걸춘향 OST,izi,응급실,OST,"90,727",#2000년 #싸이월드 #이별 #그리움
695059,20210706,695059,49314,예배인도자 컨퍼런스 2004,어노인팅,전능하신 나의 주 하나님은 (인도 : 이민욱),CCM,"4,834",#찬양 #CCM #CCM탑백
711626,20210706,711626,50578,살다가,SG 워너비,살다가,발라드,"68,249",#2000년 #싸이월드 #추억 #2000년대
711627,20210706,711627,50578,살다가,SG 워너비,죄와벌,발라드,"46,573",#2000년 #싸이월드 #추억 #노래방
724738,20210706,724738,60191,Flor de amor,Omara Portuondo,Si llego a besarte,월드뮤직,"1,787",#운전할때 #재즈 #Jazz
729875,20210706,729875,300413,두번째 달 1집,두번째달,얼음연못,뉴에이지,"39,981",#뉴에이지 #신비 #비오는날 #새벽
730738,20210706,730738,300469,Piano Forte,George Mann,드뷔시 - 달빛,클래식,"11,942",#뉴에이지 #새벽 #밤 #잔잔한
732499,20210706,732499,300641,It's Time,Michael Buble,Feeling Good,재즈,"12,961",#때껄룩 #zoodasa #주다사 #감성
732502,20210706,732502,300641,It's Time,Michael Buble,"Quando, Quando, Quando",재즈,"28,262",#보사노바 #재즈 #분위기
732503,20210706,732503,300641,It's Time,Michael Buble,Home,재즈,"54,316",#카페음악 #zoodasa #카페 #주다사
732512,20210706,732512,300646,Buzz Effect,버즈,겁쟁이,록/메탈,"63,180",#2000년 #싸이월드 #추억 #2000년대
732516,20210706,732516,300646,Buzz Effect,버즈,나에게로 떠나는 여행,록/메탈,"56,000",#2000년 #싸이월드 #추억 #노래방
732519,20210706,732519,300646,Buzz Effect,버즈,가시,록/메탈,"99,349",#2000년 #싸이월드 #추억 #2000년대
825283,20210706,825283,65685,Where Is The Love? (Single),Black Eyed Peas,Where Is The Love?,랩/힙합,"19,846",#팝 #힐링 #휴식
