index,플레이리스트_번호,멜론DJ,플레이리스트,번호,플레이리스트_태그
457914976,457914976,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,"33444738,,, 5387875,,, 31215747,,, 31186171, 32307439, 9603279,,, 31186171,,, 31015284,, 32420168, 33645879,, 9603279,, 32607375, 31035061, 32650472,,, 5604757,, 30049271,, 4681146,,, 31035061,,, 5604757,,, 31015284,,, 31035061,, 5387875,, 32212735, 31015284, 3946867, 4433490,, 33444738,, 4433490,,, 31975521,, 32224280,, 32650472, 5604757, 32307439,,, 3946867,,, 31215747,, 33645879, 33645879,,, 32616834, 32607375,, 32212735,,, 32607375,,, 4681146, 32224280, 30049271, 9603279, 5387875, 31975521, 3946867,, 32307439,, 32616834,, 32616834,,, 33444738, 31215747, 32420168,,, 32650472,, 31186171,, 32224280,,, 4433490, 4681146,, 32420168,, 32212735,",#트렌디 #힙합 #부드러운 #콜라보 #피처링 #듀엣 #국내힙합 #힙한 #감성 #달달한
496147745,496147745,음악이주는힘,"NEW 집순이, 집돌이를 위한 플레이리스트","33542172, 32544259, 33562125, 1792180, 33093677, 32990396, 33613506, 1547843, 33614923, 33445158, 33090684, 31838878, 33542173, 32913166, 8055443, 7973329, 33542175, 33348185, 8207756, 8055236",#편안한 #휴일 #주말 #오후 #힐링 #기분좋은 #아침 #집콕 #행복한 #작업
439684858,439684858,Melon_핫트렌드,NEW 멜론 공식 음악 맛집! 매력적인 'POP',"33621393, 33666790, 33666148, 33666272, 33631728, 33608136, 33623384, 33617971, 33655783, 33629069, 33615583, 33621300, 33600068, 33658563, 33621352, 33628108, 33632690, 33655097, 33610690, 33618963, 33637057, 33637819, 33629415, 33660019, 33660949, 33620408, 33661293, 33623210, 33599540, 33654495, 33613503, 33629006, 33618640, 33638715, 33634945, 33663414, 33613497, 33637058, 33610524, 33629420, 33666105, 33620136, 33653310, 33618536, 33636325, 33637224, 33622478, 33643790, 33663289, 33643777",#트렌디 #스트레스 #기분전환 #노동요 #취향저격 #Pop #신나는 #드라이브
491079512,491079512,눈에띠네.,NEW 기타로 이루어진 잔잔한 국내 인디음악,"33010630, 33240851, 30612416, 31321349, 31834337, 33332512, 31243782, 30260502, 30453365, 31726704, 33277163, 32513985, 31020445, 30745314, 32643920, 33406558, 30003578, 32091223, 30648772, 31697406, 30290580, 33160441, 32702346, 33056912, 33116860, 32231013, 33257156, 33340514",#봄 #매장음악 #인디음악 #잔잔한 #카페 #쓸쓸한 #공부 #조용한 #인디 #어쿠스틱
496150311,496150311,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,"33628108, 33213272, 33404435, 33587059, 33518190, 33556530, 33348842, 33620400, 33638430, 33136453, 33559431, 33411566, 33636325, 33549120, 33538157, 33382845, 33625968, 32714482, 33524083, 33162580, 33121104, 33410351, 33341761, 33550247, 33619707, 33474115, 33404824, 32866929, 33225211, 33503751, 33175900, 33396734, 33500664, 33426867, 33501508, 33017352, 33399127, 33643790, 33426866, 33620407, 32881519, 33561599, 33371495, 33570939",#이어폰 #기분전환 #느낌있는 #퇴근길 #Pop #저녁 #감성 #산책 #드라이브 #분위기
495770292,495770292,켈리류,숲속에서 꿀잠 잘래요~ 포근한 Jazz,"30911766, 32475173, 23179919, 1876016, 23046717, 1271425, 4300090, 1075035, 4300086, 25114625, 1122762, 106805250, 101506455, 5052966, 101627251, 106813618, 33300736, 29094513, 11789084, 106755122, 33543992, 33582921",#카페 #잔잔한 #재즈 #tea_time #Jazz #감성 #커피 #휴식
436085960,436085960,HIFI팝마스터,메말랐던 감성을 자극할 어쿠스틱 알앤비,"24149298, 33316982, 32873093, 8111367, 30683887, 8309985, 1481952, 32320076, 30663066, 3986831, 635785, 32962175, 32170780, 21937536, 32603378, 30582732, 32505107, 32128945, 31866417, 369680",#꿀보이스 #음색깡패 #부드러운 #감미로운 #알앤비 #명곡 #귀르가즘 #어쿠스틱 #감성 #소울
495415704,495415704,밍쿠2,차트에 없지만 알리고 싶은 50곡,"33521536, 33434143, 33512614, 33542376, 33571910, 33425479, 33442301, 33528902, 33541708, 33345155, 33571543, 33523706, 33571793, 31726704, 33497856, 33559392, 33507462, 33527706, 33489034, 33523923, 33567504, 33526307, 33538739, 33512367, 33233174, 33368996, 33337630, 33375795, 33516933, 33498478, 33562949, 33503725, 33516934, 33468912, 33226252, 33546832, 33577844, 33211820, 33572057, 33525228, 33518914, 33333803, 33527699, 33531543, 33536854, 33413898, 33571775, 33544690, 33462463, 33536613",#추천곡 #2021년좋은곡
484659152,484659152,대중가요마스터,유행은 돌고 돈다! 두둠칫 레트로 댄스곡,"33507137, 32725022, 33466710,, 33464805, 33016453, 32814383, 32996476,, 33559184,, 33372781,, 33169122,, 32860423, 33466710, 33589262, 33487221,, 32588066, 32908826,, 33169122, 33016453,, 33549028,, 33352039,, 33655994, 33001672,, 33507137,, 32725022,, 33352039, 33001672, 33549028, 33372781, 33048557, 32860423,, 32814383,, 33559184, 33655994,, 32908826, 32588066,, 32996476, 33048557,, 33589262,, 33487221",#기분전환 #디스코 #가요 #2020년대 #댄스 #신나는 #뉴트로 #내적댄스 #레트로
496442762,496442762,God_Punk,홈 트레이닝이 즐거워지는 최신 팝 & 일렉,"33623210,, 32437162,, 33615580, 33620961,, 33568332, 33481746, 33608136, 33444070,, 33658563, 32437162, 33657974, 33608136,, 33568332,, 33612788,, 33657974,, 33612788, 33514584,, 33607963, 33600791,, 33619822, 33623210, 33618949, 33618949,, 33620961, 33514584, 33615580,, 33657771,, 33648337,, 33639899, 33415164,, 33658563,, 33599540, 33621704,, 33444070, 33599540,, 33607963,, 33481746,, 33648337, 33621704, 33657771, 33556231,, 33619822,, 33629041, 33415164, 33639899,, 33600791, 33556231",#운동 #일렉트로니카 #갓펑 #팝 #신나는 #흥겨움
