index,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
32842870,20210706,32842870,10472797,make you,Lindsay Ell,1909425,make you,포크/블루스/컨트리,120,#기분전환 #감성
32847131,20210706,32847131,10473838,WAP (feat. Megan Thee Stallion),Cardi B,1760379,WAP (feat. Megan Thee Stallion),랩/힙합,"26,210",#불금 #외힙 #불토 #외국힙합
32853712,20210706,32853712,10475061,When We Disco,박진영,1130,When We Disco (Duet with 선미),댄스,"78,938",#댄스 #운동 #다이어트 #댄스탑백
32859299,20210706,32859299,10476364,사랑의 콜센타 PART19,임영웅,994944,오래된 노래,트로트,"40,340",#트로트 #임영웅 #미스터트롯
32860397,20210706,32860397,10476623,We Ride,브레이브걸스,531700,운전만해 (We Ride),댄스,"122,701",#추억 #발라드 #퇴근길 #시티팝
32860419,20210706,32860419,10476630,Not Shy,ITZY (있지),2622030,Not Shy,댄스,"66,881",#스트레스 #운동 #다이어트
32860483,20210706,32860483,10476644,뽀마이걸,뽀로로,1703695,바나나 알러지 원숭이,어린이/태교,"2,076",#뽀로로 #어린이날 #동요 #인기동요
32861541,20210706,32861541,10476898,BeVerly Hills BoYfRiEnd,Claire Rosinkranz,2886494,Backyard Boy,POP,"28,006",#멜로너 #음색 #팝송 #Pop
32864823,20210706,32864823,10477535,Citrus,Sylo Nozra,1704275,Citrus,R&B/Soul,"7,003",#기분전환 #팝 #감성 #팝송
32866582,20210706,32866582,10477865,아홉 이야기,나훈아,1,테스형!,트로트,"23,563",#트로트 #성인음악탑백 #미스터트롯
32871975,20210706,32871975,10478925,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),205880,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),발라드,"106,340",#이별 #회상 #좋아요10만 #감성
32872978,20210706,32872978,10479150,Dynamite (DayTime Version),방탄소년단,672375,Dynamite,댄스,"414,330",#회상 #좋아요10만 #헬스 #운동
32873093,20210706,32873093,10479164,Casual (Acoustic),"Johnny Stimson , Jesse Barrera , Jeff Bernat",856724 673152 979254,Casual (Acoustic),R&B/Soul,"9,769",#매장음악 #드라이브 #카페 #팝
32875455,20210706,32875455,10479716,24H,세븐틴,861436,24H,J-POP,"23,229",#세븐틴 #시리즈 #Jpop탑백
32888699,20210706,32888699,10482539,사랑의 콜센타 PART21,임영웅,994944,그 중에 그대를 만나,트로트,"23,014",#트로트 #임영웅 #미스터트롯
32889003,20210706,32889003,10482568,Ice Cream (with Selena Gomez),BLACKPINK,995169,Ice Cream (with Selena Gomez),댄스,"81,099",#BLACKPINK #운동 #다이어트 #노래모음
32889134,20210706,32889134,10482592,"群青 (군청, Gunjyo)",YOASOBI,2871809,"群青 (군청, Gunjyo)",J-POP,"3,094",#감성 #JPOP #애니
32898985,20210706,32898985,10484787,Getting Over Him,Lauren Alaina,532445,Run,포크/블루스/컨트리,75,#기분전환 #포크탑백 #감성 #포크
32905850,20210706,32905850,10486053,ENOC,"Ozuna , Doja Cat , Sia",764646 54103 983766,Del Mar,월드뮤직,499,#혼자 #버스 #팝 #라틴
32906021,20210706,32906021,10486085,Red Moon : Ode To The Stars,"마크툽 (MAKTUB) , 이라온",566431 827439,별을 담은 시 (Ode To The Stars),"R&B/Soul, 인디음악","46,867",#발라드 #인디 #밤
32906335,20210706,32906335,10486198,우리家,김호중,720018,만개 (Prod. 신지후),트로트,"30,125",#트로트 #김호중 #김호중노래 #성인가요
32906337,20210706,32906337,10486198,우리家,김호중,720018,우산이 없어요,트로트,"25,991",#트로트 #김호중 #김호중노래 #성인가요
32906341,20210706,32906341,10486198,우리家,김호중,720018,"애인이 되어줄게요 (Prod. 알고보니, 혼수상태)",트로트,"22,313",#트로트 #김호중 #김호중노래 #성인가요
32906342,20210706,32906342,10486198,우리家,김호중,720018,퇴근길,트로트,"22,581",#트로트 #김호중 #김호중노래 #성인가요
32907228,20210706,32907228,10486413,24H,세븐틴,861436,24H,J-POP,"14,385",#세븐틴 #시리즈 #Jpop탑백
32913168,20210706,32913168,10487703,Don't Go Wasting Time,Alfie Templeman,2162144,Don't Go Wasting Time,록/메탈,458,#기분전환 #팝 #감성 #팝송
32915886,20210706,32915886,10488222,축하해,오반 (OVAN),925515,축하해 (Prod. By VAN.C),"랩/힙합, 인디음악","43,319",#감성힙합 #드라이브 #취향저격 #감성
32924028,20210706,32924028,10490009,One Too Many,"Keith Urban , Pink",10385 35849,One Too Many,포크/블루스/컨트리,"1,317",#그루브 #드라이브 #느낌있는 #기분전환
32925337,20210706,32925337,10490362,我願意平凡的陪在你身旁 (正式版),王七七,2891348,我願意平凡的陪在你身旁(正式版),월드뮤직,958,
32932967,20210706,32932967,10491943,THE SPEED OF NOW Part 1,"Keith Urban , Pink",10385 35849,One Too Many,포크/블루스/컨트리,383,#혼자 #버스 #기분전환 #감성
32935092,20210706,32935092,10492357,Tailor,The BLANK Shop,467100,사랑노래 (Feat. 원필(DAY6)),재즈,"14,405",#재즈탑백 #고백 #재즈 #사랑
32935093,20210706,32935093,10492357,Tailor,The BLANK Shop,467100,We are all Muse (Feat. 백예린),재즈,"7,406",#새벽 #재즈탑백 #감성 #재즈
32938777,20210706,32938777,10492939,Holy,Justin Bieber,420621,Holy (Feat. Chance The Rapper),POP,"44,003",#드라이브 #기분전환 #팝탑백 #팝
32939091,20210706,32939091,10493026,Everything Black,"Mike Taylor , Unlike Pluto",839809 2752090,Everything Black,일렉트로니카,"6,568",#일렉 #헬스 #운동 #일렉탑백
32940104,20210706,32940104,10493258,Me Gusta (with Cardi B & Myke Towers),Anitta,775668,Me Gusta (with Cardi B & Myke Towers),월드뮤직,941,#그루브 #느낌있는 #기분전환 #월요병
32944191,20210706,32944191,10494202,Somewhere,Hauskey,2856702,Somewhere,록/메탈,"2,743",#나른한 #화창한 #까페 #봄
