,날짜,번호,제목,가수,장르,앨범이름,좋아요
0,20210704,33456218,맛 (Hot Sauce),NCT DREAM,장르종합,맛 (Hot Sauce) - The 1st Album,"107,821"
0,20210704,33164083,우린 어쩌다 헤어진 걸까,허각,장르종합,Hello,"35,223"
0,20210704,33295747,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드),장르종합,함께 했는데 이별은 나 혼자인 거야,"37,749"
0,20210704,32187544,우리 왜 헤어져야 해,신예영,장르종합,우리 왜 헤어져야 해,"111,234"
0,20210704,32871975,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),장르종합,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),"106,163"
0,20210704,32345931,시작,가호 (Gaho),장르종합,이태원 클라쓰 OST Part.2,"215,100"
0,20210704,31984204,안녕,폴킴,장르종합,호텔 델루나 OST Part.10,"192,803"
0,20210704,30773554,Downtown Baby,블루 (BLOO),장르종합,Downtown Baby,"188,870"
0,20210704,32137576,Don't Start Now,Dua Lipa,장르종합,Future Nostalgia,"141,469"
0,20210704,33260801,고백 (바른연애 길잡이 X 허각),허각,장르종합,고백 (바른연애 길잡이 X 허각),"37,246"
0,20210704,32853712,When We Disco (Duet with 선미),박진영,장르종합,When We Disco,"78,912"
0,20210704,33625988,바라만 본다,MSG워너비(M.O.M),국내종합,MSG워너비 1집,"83,318"
0,20210704,33487342,Next Level,aespa,국내종합,Next Level,"152,477"
0,20210704,33625989,나를 아는 사람,MSG워너비(정상동기),국내종합,MSG워너비 1집,"54,562"
0,20210704,33507137,Butter,방탄소년단,국내종합,Butter,"215,471"
0,20210704,33503722,헤픈 우연,헤이즈 (Heize),국내종합,HAPPEN,"119,322"
0,20210704,33589260,치맛바람 (Chi Mat Ba Ram),브레이브걸스,국내종합,Summer Queen,"75,354"
0,20210704,33464805,Dun Dun Dance,오마이걸 (OH MY GIRL),국내종합,Dear OHMYGIRL,"124,260"
0,20210704,33480898,신호등,이무진,국내종합,신호등,"84,012"
0,20210704,30287019,롤린 (Rollin'),브레이브걸스,국내종합,Rollin',"280,337"
0,20210704,33559180,Alcohol-Free,TWICE (트와이스),국내종합,Taste of Love,"54,759"
0,20210704,33372781,라일락,아이유,국내종합,IU 5th Album 'LILAC',"202,353"
0,20210704,33397561,ASAP,STAYC(스테이씨),국내종합,STAYDOM,"106,907"
